"Використання теплоенергії та електроенергії за видами економічної"
"діяльності (КВЕД 2010)  Зміст, Вид економічної діяльності, Територія "
"Рік"

" "	" "	"Львівська область"
" "	" "	"2013"
"Теплоенергія, Гкал"
" "	"ВСЬОГО"	2200398.0
" "	"Сільське господарство, лісове та рибне господарство"	122231.0
" "	"Промисловiсть"	1059980.0
" "	"добувна промисловість і розроблення кар`єрів"	166252.0
" "	"переробна промисловість"	869423.0
" "	"постачання електроенергії, газу, пари та кондиційованого повітря"	21275.0
" "	"водопостачання; каналізація, поводження з відходами"	3030.0
" "	"Будiвництво"	4723.0
" "	"Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів"	9177.0
" "	"Транспорт, складське господарство, поштова та кур’єрська діяльність"	142296.0
" "	"Тимчасове розміщування й організація харчування"	27455.0
" "	"Інформація та телекомунікації"	8994.0
" "	"Фінансова та страхова діяльність"	6467.0
" "	"Операції з нерухомим майном"	25770.0
" "	"Професійна, наукова та технічна діяльність"	9877.0
" "	"Діяльність у сфері адміністративного та допоміжного обслуговування"	3383.0
" "	"Державне управління й оборона; обов`язкове соціальне страхування"	97487.0
" "	"Освiта"	416367.0
" "	"Охорона здоров`я та надання соцiальної допомоги"	247754.0
" "	"Мистецтво, спорт, розваги та відпочинок"	13232.0
" "	"Надання інших видів послуг"	5205.0
"Електроенергія, тис. кВт·год"
" "	"ВСЬОГО"	2374589.0
" "	"Сільське господарство, лісове та рибне господарство"	77252.0
" "	"Промисловiсть"	1187883.0
" "	"добувна промисловість і розроблення кар`єрів"	158861.0
" "	"переробна промисловість"	752184.0
" "	"постачання електроенергії, газу, пари та кондиційованого повітря"	101130.0
" "	"водопостачання; каналізація, поводження з відходами"	175708.0
" "	"Будiвництво"	43863.0
" "	"Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів"	114897.0
" "	"Транспорт, складське господарство, поштова та кур’єрська діяльність"	557585.0
" "	"Тимчасове розміщування й організація харчування"	31562.0
" "	"Інформація та телекомунікації"	19938.0
" "	"Фінансова та страхова діяльність"	9219.0
" "	"Операції з нерухомим майном"	81453.0
" "	"Професійна, наукова та технічна діяльність"	9774.0
" "	"Діяльність у сфері адміністративного та допоміжного обслуговування"	15998.0
" "	"Державне управління й оборона; обов`язкове соціальне страхування"	53180.0
" "	"Освiта"	87088.0
" "	"Охорона здоров`я та надання соцiальної допомоги"	70140.0
" "	"Мистецтво, спорт, розваги та відпочинок"	10095.0
" "	"Надання інших видів послуг"	4662.0

"Використання енергії на виробничо-експлуатаційні та "
"комунально-побутові потреби підприємств, організацій та установ, без "
"урахування обсягів, реалізованих населенню. "
"Дані наведено відповідно до Класифікації видів економічної діяльності "
"ДК 009:2010."

""

